TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
Activity		An activity state scheduled or performed by a user.		Example: Recording behavior. Driving to camp. Conducting experiment.					recommended				Ethogrammar		http://ethoinformatics.org/ethocore/Activity	Activity	N/A	16	2015-05-06	2015-05-06	kenny	2015-05-06		Activity	publish	Activity	ethocore_term	http://ethoinformatics.org/ethocore/Activity		An activity state scheduled or performed by a user.	Example: Recording behavior. Driving to camp. Conducting experiment.	Ethogrammar	Activity		recommended	2015-05-06	2015-05-06	Activity-2015-05-06
Animal		A particular animal or a defined grouping of animals.		Examples: A single loris. A troop of baboons. A mixed species zoo exhibit. A breeding population of rhinoceroses.		"Animal" in the singular tense may be confusing as this class covers animals as both individuals and aggregates, similarly to the Organism class in Darwin Core. Individuals and aggregates are both the subjects of observations and observations, and so the terms "Subject" may be more appropriate.			recommended	http://rs.tdwg.org/dwc/terms/Organism	3/27/2015	Merged IndividualAnimal and AnimalGroup	Ethogrammar		http://ethoinformatics.org/ethocore/Animal	Animal	N/A	5	2015-05-06	2015-05-06	kenny	2015-05-06	"Animal" in the singular tense may be confusing as this class covers animals as both individuals and aggregates, similarly to the Organism class in Darwin Core. Individuals and aggregates are both the subjects of observations and observations, and so the terms "Subject" may be more appropriate.	Animal	publish	Animal	ethocore_term	http://ethoinformatics.org/ethocore/Animal		A particular animal or a defined grouping of animals.	Examples: A single loris. A troop of baboons. A mixed species zoo exhibit. A breeding population of rhinoceroses.	Ethogrammar	Animal	http://rs.tdwg.org/dwc/terms/Organism	recommended	2015-05-06	2015-05-06	Animal-2015-05-06
Event		An action that occurs at some location during some time.	An action that occurs at some location during some time.	Examples: A specimen collection process. A machine observation.	Examples: A specimen collection process. A machine observation.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/Event	http://rs.tdwg.org/dwc/terms/Event	Event	N/A	13	2015-05-06	2015-05-06	kenny	2015-05-06		Event	publish	Event	ethocore_term	http://rs.tdwg.org/dwc/terms/Event		An action that occurs at some location during some time.	Examples: A specimen collection process. A machine observation.	Darwin Core	Event		recommended	2015-05-06	2015-05-06	Event-2015-05-06
Identification		A taxonomic determination (e.g., the assignment to a taxon).	A taxonomic determination (e.g., the assignment to a taxon).	Example: A subspecies determination of an organism.	Example: A subspecies determination of an organism.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/Identification	http://rs.tdwg.org/dwc/terms/Identification	Identification	N/A	19	2015-05-06	2015-05-06	kenny	2015-05-06		Identification	publish	Identification	ethocore_term	http://rs.tdwg.org/dwc/terms/Identification		A taxonomic determination (e.g., the assignment to a taxon).	Example: A subspecies determination of an organism.	Darwin Core	Identification		recommended	2015-05-06	2015-05-06	Identification-2015-05-06
LifeHistory		Key milestones and other events in the lifetime of an individual animal, most often relating to survival or reproduction.		Examples: Birth. Weaning. Dispersal. Death.					recommended				Ethogrammar		http://ethoinformatics.org/ethocore/LifeHistory	Life History	N/A	21	2015-05-06	2015-05-06	kenny	2015-05-06		LifeHistory	publish	LifeHistory	ethocore_term	http://ethoinformatics.org/ethocore/LifeHistory		Key milestones and other events in the lifetime of an individual animal, most often relating to survival or reproduction.	Examples: Birth. Weaning. Dispersal. Death.	Ethogrammar	Life History		recommended	2015-05-06	2015-05-06	LifeHistory-2015-05-06
Location		A spatial region or named place.	A spatial region or named place.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/Location	http://rs.tdwg.org/dwc/terms/Location	Location	N/A	17	2015-05-06	2015-05-06	kenny	2015-05-06		Location	publish	Location	ethocore_term	http://rs.tdwg.org/dwc/terms/Location		A spatial region or named place.		Darwin Core	Location		recommended	2015-05-06	2015-05-06	Location-2015-05-06
MaterialSample		A physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.	A physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.	Examples: A whole organism preserved in a collection. A part of an organism isolated for some purpose. A soil sample. A marine microbial sample.	Examples: A whole organism preserved in a collection. A part of an organism isolated for some purpose. A soil sample. A marine microbial sample.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/MaterialSample	http://rs.tdwg.org/dwc/terms/MaterialSample	Material Sample	N/A	9	2015-05-06	2015-05-06	kenny	2015-05-06		MaterialSample	publish	MaterialSample	ethocore_term	http://rs.tdwg.org/dwc/terms/MaterialSample		A physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.	Examples: A whole organism preserved in a collection. A part of an organism isolated for some purpose. A soil sample. A marine microbial sample.	Darwin Core	Material Sample		recommended	2015-05-06	2015-05-06	MaterialSample-2015-05-06
MeasurementOrFact		A measurement of or fact about a subject.	A measurement of or fact about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).	In Darwin Core, the measurement or fact is of or about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource). In EthoCore, the subject need not be an rdfs:Resource. Examples: The weight of an organism in grams. The number of placental scars. A daily rain gauge reading in millimeters.	Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Examples: The weight of an organism in grams. The number of placental scars.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/MeasurementOrFact	http://rs.tdwg.org/dwc/terms/MeasurementOrFact	Measurement or Fact	N/A	3	2015-05-06	2015-05-06	kenny	2015-05-06		MeasurementOrFact	publish	MeasurementOrFact	ethocore_term	http://rs.tdwg.org/dwc/terms/MeasurementOrFact		A measurement of or fact about a subject.	In Darwin Core, the measurement or fact is of or about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource). In EthoCore, the subject need not be an rdfs:Resource. Examples: The weight of an organism in grams. The number of placental scars. A daily rain gauge reading in millimeters.	Darwin Core	Measurement or Fact		recommended	2015-05-06	2015-05-06	MeasurementOrFact-2015-05-06
Observation		Details about the nature and context of observed changes in animals and their environments.		Examples: An observed foraging event. An observed proximity episode. The occupancy of a location by a species. A change in cloud cover.		Observations can be thought of as a complement to Events. They focus, however, on the details concerning what was observed rather than the details concerning how and when it was observed.			recommended	http://rs.tdwg.org/dwc/terms/Occurrence			Ethogrammar		http://ethoinformatics.org/ethocore/Observation	Observation	N/A	2	2015-05-06	2015-05-06	kenny	2015-05-06	Observations can be thought of as a complement to Events. They focus, however, on the details concerning what was observed rather than the details concerning how and when it was observed.	Observation	publish	Observation	ethocore_term	http://ethoinformatics.org/ethocore/Observation		Details about the nature and context of observed changes in animals and their environments.	Examples: An observed foraging event. An observed proximity episode. The occupancy of a location by a species. A change in cloud cover.	Ethogrammar	Observation	http://rs.tdwg.org/dwc/terms/Occurrence	recommended	2015-05-06	2015-05-06	Observation-2015-05-06
ResourcePatch		A feature of the environment, living or otherwise, that provides nourishment, protection, or other benefit to the survival of animals or the persistence of species.		Examples: A fruiting tree. A sleeping site. A water hole. A mineral lick.		ResourcePatch is an ecological resource. Not to be confused with the concept of resources (such as documents or tables).			recommended	http://rs.tdwg.org/dwc/terms/Organism			Ethogrammar		http://ethoinformatics.org/ethocore/ResourcePatch	Resource Patch	N/A	7	2015-05-06	2015-05-06	kenny	2015-05-06	ResourcePatch is an ecological resource. Not to be confused with the concept of resources (such as documents or tables).	ResourcePatch	publish	ResourcePatch	ethocore_term	http://ethoinformatics.org/ethocore/ResourcePatch		A feature of the environment, living or otherwise, that provides nourishment, protection, or other benefit to the survival of animals or the persistence of species.	Examples: A fruiting tree. A sleeping site. A water hole. A mineral lick.	Ethogrammar	Resource Patch	http://rs.tdwg.org/dwc/terms/Organism	recommended	2015-05-06	2015-05-06	ResourcePatch-2015-05-06
ResourceRelationship		A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.	A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.	Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Example: An instance of an Organism is the mother of another instance of an Organism.	Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Example: An instance of an Organism is the mother of another instance of an Organism.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/ResourceRelationship	http://rs.tdwg.org/dwc/terms/ResourceRelationship	Resource Relationship	N/A	22	2015-05-06	2015-05-06	kenny	2015-05-06		ResourceRelationship	publish	ResourceRelationship	ethocore_term	http://rs.tdwg.org/dwc/terms/ResourceRelationship		A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.	Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Example: An instance of an Organism is the mother of another instance of an Organism.	Darwin Core	Resource Relationship		recommended	2015-05-06	2015-05-06	ResourceRelationship-2015-05-06
Taxon		A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.	A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.	Example: The genus Truncorotaloides as published by Brönnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820.	Example: The genus Truncorotaloides as published by Brönnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/Taxon	http://rs.tdwg.org/dwc/terms/Taxon	Taxon	N/A	20	2015-05-06	2015-05-06	kenny	2015-05-06		Taxon	publish	Taxon	ethocore_term	http://rs.tdwg.org/dwc/terms/Taxon		A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.	Example: The genus Truncorotaloides as published by Brönnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820.	Darwin Core	Taxon		recommended	2015-05-06	2015-05-06	Taxon-2015-05-06
activityID	Activity	An identifier for the Activity (some activity state scheduled or performed by a user). May be a global unique identifier or an identifier specific to the data set.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/activityID	Activity ID		138	2015-05-06	2015-05-06	kenny	2015-05-06		activityID	publish	activityID	ethocore_term	http://ethoinformatics.org/ethocore/activityID	Activity	An identifier for the Activity (some activity state scheduled or performed by a user). May be a global unique identifier or an identifier specific to the data set.		Ethogrammar	Activity ID		recommended	2015-05-06	2015-05-06	activityID-2015-05-06
activityType	Activity	The type of activity being scheduled or performed.		Examples: "focal sample collection", "searching for animals".				Ethogrammar Activity Types	recommended				Ethogrammar		http://ethoinformatics.org/ethocore/activityType	Activity Type		139	2015-05-06	2015-05-06	kenny	2015-05-06		activityType	publish	activityType	ethocore_term	http://ethoinformatics.org/ethocore/activityType	Activity	The type of activity being scheduled or performed.	Examples: "focal sample collection", "searching for animals".	Ethogrammar	Activity Type		recommended	2015-05-06	2015-05-06	activityType-2015-05-06
activityRemarks	Activity	Comments or notes about the Activity.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/activityRemarks	Activity Remarks		142	2015-05-06	2015-05-06	kenny	2015-05-06		activityRemarks	publish	activityRemarks	ethocore_term	http://ethoinformatics.org/ethocore/activityRemarks	Activity	Comments or notes about the Activity.		Ethogrammar	Activity Remarks		recommended	2015-05-06	2015-05-06	activityRemarks-2015-05-06
activityBy	Activity	A list (concatenated and separated) of names of people, groups, or organizations who conducted the Activity.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/activityBy	Activity By		141	2015-05-06	2015-05-06	kenny	2015-05-06		activityBy	publish	activityBy	ethocore_term	http://ethoinformatics.org/ethocore/activityBy	Activity	A list (concatenated and separated) of names of people, groups, or organizations who conducted the Activity.		Ethogrammar	Activity By		recommended	2015-05-06	2015-05-06	activityBy-2015-05-06
eventDate	Event	The date-time or interval during which an Event occurred. For observations or activities, this is the date-time when the event was recorded. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/eventDate	http://rs.tdwg.org/dwc/terms/eventDate	Event Date	string	125	2015-05-06	2015-05-06	kenny	2015-05-06		eventDate	publish	eventDate	ethocore_term	http://rs.tdwg.org/dwc/terms/eventDate	Event	The date-time or interval during which an Event occurred. For observations or activities, this is the date-time when the event was recorded. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Darwin Core	Event Date		recommended	2015-05-06	2015-05-06	eventDate-2015-05-06
eventID	Event	An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.	An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/eventID	http://rs.tdwg.org/dwc/terms/eventID	Event ID	URI, URL, DOI	123	2015-05-06	2015-05-06	kenny	2015-05-06		eventID	publish	eventID	ethocore_term	http://rs.tdwg.org/dwc/terms/eventID	Event	An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.		Darwin Core	Event ID		recommended	2015-05-06	2015-05-06	eventID-2015-05-06
eventRemarks	Event	Comments or notes about the Event.	Comments or notes about the Event.	Example: "after the recent rains the river is nearly at flood stage"	Example: "after the recent rains the river is nearly at flood stage"		for the purposes of our application and database, all remarks should be saved into eventRemarks and then manually partitioned, post hoc, into remarks fields specific for all other classes		recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/eventRemarks	http://rs.tdwg.org/dwc/terms/eventRemarks	Event Remarks	string	137	2015-05-06	2015-05-06	kenny	2015-05-06		eventRemarks	publish	eventRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/eventRemarks	Event	Comments or notes about the Event.	Example: "after the recent rains the river is nearly at flood stage"	Darwin Core	Event Remarks		recommended	2015-05-06	2015-05-06	eventRemarks-2015-05-06
eventTime	Event	The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "14:07-0600" is 2:07pm in the time zone six hours earlier than UTC, "08:40:21Z" is 8:40:21am UTC, "13:00:00Z/15:30:00Z" is the interval between 1pm UTC and 3:30pm UTC.	Examples: "14:07-0600" is 2:07pm in the time zone six hours earlier than UTC, "08:40:21Z" is 8:40:21am UTC, "13:00:00Z/15:30:00Z" is the interval between 1pm UTC and 3:30pm UTC.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/eventTime	http://rs.tdwg.org/dwc/terms/eventTime	Event Time	string	126	2015-05-06	2015-05-06	kenny	2015-05-06		eventTime	publish	eventTime	ethocore_term	http://rs.tdwg.org/dwc/terms/eventTime	Event	The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "14:07-0600" is 2:07pm in the time zone six hours earlier than UTC, "08:40:21Z" is 8:40:21am UTC, "13:00:00Z/15:30:00Z" is the interval between 1pm UTC and 3:30pm UTC.	Darwin Core	Event Time		recommended	2015-05-06	2015-05-06	eventTime-2015-05-06
samplingEffort	Event	The amount of effort expended during an Event.	The amount of effort expended during an Event.	Examples: "40 trap-nights", "10 observer-hours; 10 km by foot; 30 km by car"	Examples: "40 trap-nights", "10 observer-hours; 10 km by foot; 30 km by car"		specifying the sampling effort for a particular event should take care of the early end condition (e.g., for a focalSample event; this field would record the length of a each focal sample); if the sample did not end early, then samplingEffort should be the duration of a ideal sample and this field be the duration of an interval stored in eventTime		recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/samplingEffort	http://rs.tdwg.org/dwc/terms/samplingEffort	Sampling Effort	number	135	2015-05-06	2015-05-06	kenny	2015-05-06		samplingEffort	publish	samplingEffort	ethocore_term	http://rs.tdwg.org/dwc/terms/samplingEffort	Event	The amount of effort expended during an Event.	Examples: "40 trap-nights", "10 observer-hours; 10 km by foot; 30 km by car"	Darwin Core	Sampling Effort		recommended	2015-05-06	2015-05-06	samplingEffort-2015-05-06
samplingProtocol	Event	The name of, reference to, or description of the method or protocol used during an Event.	The name of, reference to, or description of the method or protocol used during an Event.	Examples: "UV light trap", "mist net", "bottom trawl", "ad hoc observation", "point count", "Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x", "Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp.", "http://www.bsc-eoc.org/download/Owl.pdf"	Examples: "UV light trap", "mist net", "bottom trawl", "ad hoc observation", "point count", "Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x", "Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp.", "http://www.bsc-eoc.org/download/Owl.pdf"		this could be the entire protocol description OR a reference to a protocol document OR the name of a named protocol (and all this is allowed in the Darwin Core definition); best practice for sampling protocol is to include name, date, and author of protocol plus the sampling rules, recording rules, ethogram, and ethogram version; Darwin Core lets this field be flexible... can be a URI to document include sampling rule, recording rule, ethogram, and the ethogram version; a possible later extension would be to design a separate samplingProtocol class for archiving of protocol details; we think that the sampling protocol should include name, date, author and description; darwin lets this field be flexible... can be a URI to document		recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/samplingProtocol	http://rs.tdwg.org/dwc/terms/samplingProtocol	Sampling Protocol	string, URI, URL, DOI	134	2015-05-06	2015-05-06	kenny	2015-05-06		samplingProtocol	publish	samplingProtocol	ethocore_term	http://rs.tdwg.org/dwc/terms/samplingProtocol	Event	The name of, reference to, or description of the method or protocol used during an Event.	Examples: "UV light trap", "mist net", "bottom trawl", "ad hoc observation", "point count", "Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x", "Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp.", "http://www.bsc-eoc.org/download/Owl.pdf"	Darwin Core	Sampling Protocol		recommended	2015-05-06	2015-05-06	samplingProtocol-2015-05-06
